Rank,Country/Region,2022,2021,2020,2019,2018,Population
1,Chad,89.7,75.9,--,--,--,17179740
2,Iraq,80.1,49.7,--,39.6,--,43533592
3,Pakistan,70.9,66.8,59,65.8,74.3,231402117
4,Bahrain,66.6,49.8,39.7,46.8,59.8,1463265
5,Bangladesh,65.8,76.9,77.1,83.3,97.1,169356251
6,Burkina Faso,63.0,--,--,--,--,22100683
7,Kuwait,55.8,29.7,34,38.3,56,4250114
8,India,53.3,58.1,51.9,58.1,72.5,1407563842
9,Egypt,46.5,29.1,--,18,--,109262178
10,Tajikistan,46.0,59.4,30.9,--,--,9750064
11,United Arab Emirates,45.9,36,29.2,38.9,49.9,9365145
12,Sudan,44.6,44.1,--,--,--,45657202
13,Rwanda,44.0,--,--,--,--,13461888
14,Qatar,42.5,38.2,44.3,--,--,2688235
15,Saudi Arabia,41.5,32.7,23.3,22.1,--,35950396
16,Nepal,40.1,46,39.2,44.5,54.1,30034989
17,Uganda,39.6,27.6,26.1,29.1,40.8,45853778
18,Nigeria,36.9,34,--,21.4,44.8,213401323
19,Bosnia and Herzegovina,33.6,27.8,40.6,34.6,40,3270943
20,Uzbekistan,33.5,42.8,29.9,41.2,34.3,34915100
21,Iran,32.5,30.3,27.2,24.3,25,87923432
22,Armenia,31.4,33.9,24.9,25.5,--,2790974
23,Ethiopia,31.3,23.9,14.7,20.1,27.1,120283026
24,Kyrgyzstan,31.1,50.8,43.5,33.2,--,6691800
25,China,30.6,32.6,34.7,39.1,41.2,1412360000
26,Indonesia,30.4,34.3,40.7,51.7,42,273753191
27,Ghana,30.2,25.9,26.9,30.3,--,32833031
28,Mongolia,29.5,33.1,46.6,62,58.5,3347782
29,Laos,27.6,21.5,22.4,23.1,--,7275556
30,Vietnam,27.2,24.7,28,34.1,32.9,97468029
31,North Macedonia,25.6,25.4,30.6,32.4,35.5,2065092
32,Gabon,25.0,--,--,--,--,2341179
33,Serbia,24.7,25.5,24.3,23.3,23.9,6834326
34,Zambia,24.6,--,--,--,--,19473125
35,Myanmar,24.3,25.9,29.4,31,--,53798084
36,Madagascar,23.7,21,20,--,--,28915653
37,Croatia,23.5,25.4,21.2,19.1,22.2,3899000
38,Peru,23.5,29.6,17.9,23.3,28,33715471
39,South Africa,23.4,22.7,18,21.6,--,59392255
40,Kazakhstan,23.0,31.1,21.9,23.6,29.8,19000988
41,Moldova,22.6,--,--,--,--,2615199
42,Ivory Coast,22.5,--,21.9,--,--,29389150
43,Chile,22.2,21.7,19.3,22.6,24.9,19493184
44,Turkmenistan,21.6,20.4,17,--,--,6341855
45,Turkey,21.1,20,18.7,20.6,21.9,84775404
46,Sri Lanka,20.7,17.4,22.4,25.2,32,22156000
47,Senegal,20.4,--,11.2,--,--,16876720
48,Syria,20.0,23,--,32.2,--,21324367
49,Mexico,19.5,19.3,18.9,20,20.3,126705138
50,Greece,19.0,19,18.4,22.5,--,10641221
51,Azerbaijan,18.9,17.6,--,--,--,10137750
52,Italy,18.9,15.2,18.5,17.1,14.9,59109668
53,Israel,18.8,18.7,16.9,20.8,18.6,9364000
54,Guatemala,18.6,19.5,19.2,20.2,--,17109746
55,Bulgaria,18.3,16.3,27.5,25.5,25.8,6877743
56,South Korea,18.3,19.1,19.5,24.8,24,51744876
57,Thailand,18.1,20.2,21.4,24.3,26.4,71601103
58,Algeria,17.8,20,20.2,21.2,--,44177969
59,Malaysia,17.7,19.4,15.6,19.4,--,33573874
60,Romania,17.2,15.3,15.8,18.3,18.6,19119880
61,Georgia,17.0,21,20.4,20.1,--,3708610
62,Poland,16.3,19.1,16.9,18.7,22.4,37747124
63,Colombia,15.7,14.1,15.6,14.6,13.9,51516562
64,Montenegro,15.7,35.2,26.1,--,--,619211
65,Cyprus,15.6,14.8,15.8,19.7,17.6,1244188
66,Democratic Republic of the Congo,15.5,--,--,32.1,--,95894118
67,"Macau, China",15.4,17,17.8,23.5,21.2,686607
68,Slovenia,15.1,13.3,--,--,--,2108079
69,Philippines,14.9,15.6,12.8,17.6,14.6,113880328
70,Kosovo,14.7,14.7,20,23.5,30.4,1786038
71,Slovakia,14.5,16,15.3,16.1,18.5,5447247
72,Hong Kong SAR,14.5,15.9,15.4,20.3,20.2,7413100
73,Albania,14.5,12.5,16,--,--,2811666
74,El Salvador,14.2,--,--,--,--,6314167
75,Czech Republic,13.4,13.9,12.3,14.4,20.2,10505772
76,Taiwan,13.4,16.2,15,17.2,18.5,23816775
77,Singapore,13.3,13.8,11.8,19,14.8,5453566
78,Lithuania,13.2,13.2,11.7,14.5,17.5,2800839
79,Guyana,12.6,--,--,--,--,804567
80,Hungary,12.6,15.5,14.3,14.6,16.8,9709891
81,Brazil,12.2,13.6,14.2,15.8,16.3,214326223
82,Malta,11.7,13.5,11.8,9.4,11,518536
83,Kenya,11.5,14.3,14.2,--,--,53005614
84,France,11.5,11.4,11.1,12.3,13.2,67749632
85,Uruguay,11.3,14.2,--,--,--,3426260
86,Russia,11.2,12.3,9.3,9.9,11.4,143449286
87,Netherlands,11.0,11.3,9.7,10.9,11.7,17533044
88,Germany,11.0,10.6,10.1,11,13,83196078
89,Spain,10.9,10.7,10.4,9.7,10.3,47415750
90,Maldives,10.9,--,--,--,--,521457
91,Belgium,10.8,11.5,8.9,12.5,13.5,11592952
92,Austria,10.6,11.4,10.9,12.2,15,8955797
93,Honduras,10.2,11.8,--,--,--,10278345
94,Latvia,10.1,--,11.3,13.3,--,1884490
95,Switzerland,10.0,10.8,9,10.9,11.6,8703405
96,Ukraine,9.7,18.5,19.2,16.6,14,43792855
97,Japan,9.1,9.1,9.8,11.4,12,125681593
98,Panama,9.0,--,--,--,--,4351267
99,USA,8.9,10.3,9.6,9,9.1,331893745
100,Nicaragua,8.9,--,--,--,--,6850540
101,United Kingdom,8.9,8.8,8.3,10.5,10.8,67326569
102,Angola,8.8,11,13,15.9,--,34503774
103,Denmark,8.6,9.6,9.4,9.6,--,5856733
104,Cambodia,8.3,19.8,21.1,25.8,--,17652114
105,Liechtenstein,8.3,7.2,--,--,--,39039
